Customer Name,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Score_Numeric,Segment
Streich PLC Pharm,0,361,25646105.0,5,2,5,525,12,At Risk
Streich PLC Pharmaceutical Limited,731,214,5287741.0,1,2,2,122,5,New
Terry-Kub Pharma Plc,0,395,17495713.0,5,4,3,543,12,Loyal
Terry-Kub Pharmaceutical Ltd,0,400,18492869.0,5,5,4,554,14,Champions
Tillman Group Pharma Plc,0,376,22217841.0,5,3,5,535,13,Loyal
Tillman Group Pharmaceutical Limited,0,381,12103140.0,5,3,2,532,10,At Risk
Torp-Fisher ,0,351,24617043.0,5,2,5,525,12,At Risk
Torp-Fisher Pharma Plc,731,221,4160580.0,1,2,2,122,5,New
"Torphy, Pfeffer and Jakubowski Pharm",0,385,41514215.0,5,4,5,545,14,Champions
"Torphy, Pfeffer and Jakubowski Pharmaceutical Ltd",0,405,13807772.0,5,5,2,552,12,At Risk
"Towne, Cummerata and Blanda Pharm",731,177,4477560.0,1,1,2,112,4,New
"Towne, Cummerata and Blanda Pharmaceutical Limited",0,380,15651019.0,5,3,3,533,11,Loyal
"Towne, Cummerata and Blanda Pharmaceutical Ltd",0,371,20408392.0,5,3,4,534,12,Loyal
Trantow LLC Pharm,0,423,14220908.0,5,5,2,552,12,At Risk
Trantow LLC Pharma Plc,731,183,3768587.0,1,1,1,111,3,Lost
Trantow LLC Pharmacy,0,388,24450589.0,5,4,5,545,14,Champions
Turner Ltd ,0,382,18452148.0,5,3,4,534,12,Loyal
Turner Ltd Pharmacy,0,376,22473558.0,5,3,5,535,13,Loyal
Upton PLC Pharma Plc,0,408,15306351.0,5,5,3,553,13,Loyal
Upton PLC Pharmaceutical Limited,0,352,15827332.0,5,2,3,523,10,At Risk
"Upton, Abernathy and Goodwin Pharm",0,407,16472204.0,5,5,3,553,13,Loyal
"Upton, Abernathy and Goodwin Pharmaceutical Limited",0,368,12302834.0,5,2,2,522,9,At Risk
"Upton, Abernathy and Goodwin Pharmaceutical Ltd",731,217,2971636.0,1,2,1,121,4,New
Vandervort LLC Pharm,0,387,14647896.0,5,4,2,542,11,At Risk
Vandervort LLC Pharma Plc,731,212,4184133.0,1,2,2,122,5,New
Vandervort LLC Pharmaceutical Ltd,0,369,20964778.0,5,2,4,524,11,At Risk
Veum and Sons Pharmaceutical Limited,0,395,26826785.0,5,4,5,545,14,Champions
Veum and Sons Pharmaceutical Ltd,0,406,26177593.0,5,5,5,555,15,Champions
Veum-Kerluke Pharma Plc,0,391,15752854.0,5,4,3,543,12,Loyal
Veum-Kerluke Pharmacy,731,186,2832805.0,1,1,1,111,3,Lost
VonRueden-Adams Pharm,0,405,18137914.0,5,5,4,554,14,Champions
VonRueden-Adams Pharmaceutical Limited,0,396,14591022.0,5,4,2,542,11,At Risk
Waelchi LLC Pharm,0,384,14555977.0,5,3,2,532,10,At Risk
Waelchi LLC Pharmaceutical Limited,0,378,18456035.81377,5,3,4,534,12,Loyal
Waelchi LLC Pharmacy,731,203,3168766.0,1,1,1,111,3,Lost
Walsh-Brown Pharma Plc,0,394,15306204.0,5,4,3,543,12,Loyal
Walsh-Brown Pharmaceutical Ltd,0,369,21140465.658291,5,2,4,524,11,At Risk
Walsh-Brown Pharmacy,731,198,4516298.0,1,1,2,112,4,New
Walter Ltd ,731,191,2232664.0,1,1,1,111,3,Lost
Walter Ltd Pharmaceutical Limited,0,358,13129692.52764,5,2,2,522,9,At Risk
Ward Group Pharm,0,380,13188028.0,5,3,2,532,10,At Risk
Ward Group Pharma Plc,0,399,20697185.0,5,4,4,544,13,Champions
Ward Group Pharmaceutical Limited,731,186,4787357.0,1,1,2,112,4,New
"Watsica, Larson and Labadie Pharma Plc",0,371,17505127.0,5,3,3,533,11,Loyal
"Watsica, Larson and Labadie Pharmaceutical Ltd",0,402,30633647.0,5,5,5,555,15,Champions
Watsica-Kovacek Pharmaceutical Ltd,0,371,21523843.0,5,3,4,534,12,Loyal
Watsica-Kovacek Pharmacy,0,390,21508807.0,5,4,4,544,13,Champions
Weber Ltd Pharmaceutical Ltd,0,436,16649251.0,5,5,3,553,13,Loyal
Weber Ltd Pharmacy,0,370,13939423.0,5,2,2,522,9,At Risk
Wehner-Stehr ,0,393,33097541.0,5,4,5,545,14,Champions
Wehner-Stehr Pharm,0,387,13605696.0,5,4,2,542,11,At Risk
Welch-Langworth ,731,198,2674619.0,1,1,1,111,3,Lost
Welch-Langworth Pharm,0,391,13016333.0,5,4,2,542,11,At Risk
Welch-Orn ,731,189,4375067.0,1,1,2,112,4,New
Welch-Orn Pharm,0,419,17144623.0,5,5,3,553,13,Loyal
Welch-Orn Pharmacy,0,402,13905998.0,5,5,2,552,12,At Risk
West Group Pharm,0,368,14837356.0,5,2,3,523,10,At Risk
West Group Pharma Plc,0,407,13001329.0,5,5,2,552,12,At Risk
West Group Pharmacy,731,191,2260025.0,1,1,1,111,3,Lost
White Inc Pharm,0,401,20542811.0,5,5,4,554,14,Champions
White Inc Pharmacy,0,389,14110472.0,5,4,2,542,11,At Risk
"Wiegand, Jast and Yost ",0,390,15396422.0,5,4,3,543,12,Loyal
"Wiegand, Jast and Yost Pharma Plc",731,164,1796446.0,1,1,1,111,3,Lost
"Wiegand, Jast and Yost Pharmaceutical Ltd",0,392,33075207.0,5,4,5,545,14,Champions
Will and Sons Pharma Plc,731,200,2547983.0,1,1,1,111,3,Lost
Will and Sons Pharmaceutical Limited,731,191,3773857.0,1,1,1,111,3,Lost
Will and Sons Pharmacy,0,386,21770674.0,5,4,4,544,13,Champions
"Will, McGlynn and Fritsch Pharmaceutical Limited",0,400,15624628.0,5,5,3,553,13,Loyal
"Will, McGlynn and Fritsch Pharmaceutical Ltd",0,367,14912794.0,5,2,3,523,10,At Risk
"Wintheiser, Breitenberg and Gottlieb ",0,383,16754942.0,5,3,3,533,11,Loyal
"Wintheiser, Breitenberg and Gottlieb Pharma Plc",0,397,19647009.0,5,4,4,544,13,Champions
"Wintheiser, Breitenberg and Gottlieb Pharmaceutical Limited",731,191,4176930.0,1,1,2,112,4,New
"Wisozk, Brekke and Bartoletti ",0,386,14805318.0,5,4,3,543,12,Loyal
"Wisozk, Brekke and Bartoletti Pharmacy",0,408,18179497.0,5,5,4,554,14,Champions
Wolff Group ,0,402,14111671.0,5,5,2,552,12,At Risk
Wolff Group Pharm,731,202,2712648.0,1,1,1,111,3,Lost
Wolff Group Pharmaceutical Ltd,0,391,14092909.0,5,4,2,542,11,At Risk
"Wuckert, Kreiger and Howell ",0,409,17876232.0,5,5,3,553,13,Loyal
"Wuckert, Kreiger and Howell Pharma Plc",0,409,25290286.0,5,5,5,555,15,Champions
"Wunsch, Mills and Walter ",731,206,2757470.0,1,1,1,111,3,Lost
"Wunsch, Mills and Walter Pharm",0,384,21947346.0,5,3,4,534,12,Loyal
"Wunsch, Mills and Walter Pharmaceutical Limited",0,374,23000519.0,5,3,5,535,13,Loyal
"Yundt, Leuschke and Ward ",0,408,16091963.0,5,5,3,553,13,Loyal
"Yundt, Leuschke and Ward Pharma Plc",0,350,18451676.0,5,2,4,524,11,At Risk
"Yundt, Leuschke and Ward Pharmaceutical Ltd",731,202,3029636.0,1,1,1,111,3,Lost
Yundt-Crona Pharm,0,420,22630547.0,5,5,5,555,15,Champions
Yundt-Crona Pharmaceutical Ltd,731,210,2667767.0,1,1,1,111,3,Lost
Zemlak Group Pharm,0,372,30580526.0,5,3,5,535,13,Loyal
Zemlak Group Pharmaceutical Limited,731,222,2228898.0,1,2,1,121,4,New
Zemlak Group Pharmacy,0,402,12872896.110553,5,5,2,552,12,At Risk
Zemlak-Witting ,0,386,56006680.0,5,4,5,545,14,Champions
Zemlak-Witting Pharmaceutical Limited,0,369,11948953.0,5,2,2,522,9,At Risk
Zemlak-Witting Pharmacy,731,213,3125023.0,1,2,1,121,4,New
"Zieme, Doyle and Kunze ",731,196,2726368.0,1,1,1,111,3,Lost
"Zieme, Doyle and Kunze Pharm",0,370,25305007.0,5,3,5,535,13,Loyal
"Zieme, Doyle and Kunze Pharmacy",0,368,14150953.0,5,2,2,522,9,At Risk
